date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:17:44	229125/229125	---M-Z	200	added ('OK')	text/html	etag:%227c879b661a75b53b7ec104ce017e1933%22	https://alejandrovidela.framer.website/work	C:/Portafolio/alejandrovidela.framer.website/work.html	(from https://alejandrovidela.framer.website/)
00:17:44	368654/368654	---MC-	200	added ('OK')	image/png	etag:%22ba7330db4a293e76fdcce60ffc79de21%22	https://framerusercontent.com/images/nBDMrpV2Kv2ZOjWZAQ3jYPyU18.png	C:/Portafolio/framerusercontent.com/images/nBDMrpV2Kv2ZOjWZAQ3jYPyU18.png	(from https://alejandrovidela.framer.website/about-me)
00:17:44	2993/2993	---MC-	200	added ('OK')	image/png	etag:%220ccbb644a38880f18e986f0e65eb3c94%22	https://framerusercontent.com/images/BEmCkJ0wT7PBLZRJiF9XO3mN8c.png	C:/Portafolio/framerusercontent.com/images/BEmCkJ0wT7PBLZRJiF9XO3mN8c.png	(from https://alejandrovidela.framer.website/about-me)
00:17:44	12664/12664	---MC-	200	added ('OK')	image/png	etag:%226a7a2eed2e9e8749823e1e7ed7cd9b55%22	https://framerusercontent.com/images/WlLfa0l1UwHyiEbYxerEeWGTGd0.png	C:/Portafolio/framerusercontent.com/images/WlLfa0l1UwHyiEbYxerEeWGTGd0.png	(from https://alejandrovidela.framer.website/about-me)
00:17:45	3066/3066	---MC-	200	added ('OK')	image/png	etag:%220e9cb4414cd51cea64ccc2f564b83bd5%22	https://framerusercontent.com/images/QgzvzpAS1Q1G8FMGGYUyaEquEI.png	C:/Portafolio/framerusercontent.com/images/QgzvzpAS1Q1G8FMGGYUyaEquEI.png	(from https://alejandrovidela.framer.website/about-me)
00:17:45	259834/259834	---MC-	200	added ('OK')	image/png	etag:%225cd199bb2705d533f15ad3d7564b3a9d%22	https://framerusercontent.com/images/Tp5nUPNKKOtrwjc43JZL0KD4ak.png	C:/Portafolio/framerusercontent.com/images/Tp5nUPNKKOtrwjc43JZL0KD4ak.png	(from https://alejandrovidela.framer.website/about-me)
00:17:46	306293/306293	---MC-	200	added ('OK')	image/png	etag:%22c458a89588705a38b732a6c6b623c83c%22	https://framerusercontent.com/images/D78mdWwS0lDKmrw65YYQBgPFC8Y.png	C:/Portafolio/framerusercontent.com/images/D78mdWwS0lDKmrw65YYQBgPFC8Y.png	(from https://alejandrovidela.framer.website/work/kit-ui-rflex)
00:17:46	162275/162275	---MC-	200	added ('OK')	image/png	etag:%2239adbbe2aaf5df99f1fd6537157326a9%22	https://framerusercontent.com/images/TQ5thODmW8Pbb5rk2km5nglenHQ.png	C:/Portafolio/framerusercontent.com/images/TQ5thODmW8Pbb5rk2km5nglenHQ.png	(from https://alejandrovidela.framer.website/work/kit-ui-rflex)
00:17:46	223277/223277	---MC-	200	added ('OK')	image/png	etag:%22193cad7c09016e943eb1f3319f3a02b1%22	https://framerusercontent.com/images/Cqfaz9KUm24o3LQc68dM2FhleaU.png	C:/Portafolio/framerusercontent.com/images/Cqfaz9KUm24o3LQc68dM2FhleaU.png	(from https://alejandrovidela.framer.website/work/kit-ui-rflex)
00:17:46	86469/86469	---MC-	200	added ('OK')	image/png	etag:%22e1e3012b65efc7ce21b3e5fc01ba3ce0%22	https://framerusercontent.com/images/F9o7LeRZatkg2BJYbb7359LQqP8.png	C:/Portafolio/framerusercontent.com/images/F9o7LeRZatkg2BJYbb7359LQqP8.png	(from https://alejandrovidela.framer.website/work/webapp-gdp)
00:17:46	94674/94674	---MC-	200	added ('OK')	image/png	etag:%22ee00f5559a06bbe23ad032d816345c58%22	https://framerusercontent.com/images/YVMMc9ALOLpDLmnSAtRwKKe72s.png	C:/Portafolio/framerusercontent.com/images/YVMMc9ALOLpDLmnSAtRwKKe72s.png	(from https://alejandrovidela.framer.website/work/webapp-gdp)
00:17:47	96960/96960	---MC-	200	added ('OK')	image/png	etag:%22148b16b6f99dd948d1b6c4ccc02b6c8d%22	https://framerusercontent.com/images/taIsr1V5U6fSdYce5D4jmfMwYxw.png	C:/Portafolio/framerusercontent.com/images/taIsr1V5U6fSdYce5D4jmfMwYxw.png	(from https://alejandrovidela.framer.website/work/webapp-gdp)
00:17:47	177831/177831	---MC-	200	added ('OK')	image/png	etag:%2234634038953642570948f46ebb8e30e2%22	https://framerusercontent.com/images/zxPXI5dijG3ZzOHC4rmKmC8REcc.png	C:/Portafolio/framerusercontent.com/images/zxPXI5dijG3ZzOHC4rmKmC8REcc.png	(from https://alejandrovidela.framer.website/work/webapp-gdp)
00:17:47	232453/232453	---MC-	200	added ('OK')	image/png	etag:%22f4f9368892ef511e2303d3f3c27748ae%22	https://framerusercontent.com/images/QVieb2A2rkDVHJL1spigYh3kxds.png	C:/Portafolio/framerusercontent.com/images/QVieb2A2rkDVHJL1spigYh3kxds.png	(from https://alejandrovidela.framer.website/work/snusi)
00:17:47	67408/67408	---MC-	200	added ('OK')	image/png	etag:%22bab9fa0472b9007877dde9790500d7f2%22	https://framerusercontent.com/images/5SZXOLr9Sqd1eCICJdPpJIEoFA.png	C:/Portafolio/framerusercontent.com/images/5SZXOLr9Sqd1eCICJdPpJIEoFA.png	(from https://alejandrovidela.framer.website/work/snusi)
00:17:48	70554/70554	---MC-	200	added ('OK')	image/png	etag:%2217ac42e393c3b5e094a9732da0fa762d%22	https://framerusercontent.com/images/SNvHxKyGjst6bYSfBMk3AlLqWzc.png	C:/Portafolio/framerusercontent.com/images/SNvHxKyGjst6bYSfBMk3AlLqWzc.png	(from https://alejandrovidela.framer.website/work/snusi)
00:17:48	104649/104649	---MC-	200	added ('OK')	image/png	etag:%224dfdd15c9a43d2fa425a2e4b700bd956%22	https://framerusercontent.com/images/WXWmv58d9sUu4dqpzmT1VHpljJM.png	C:/Portafolio/framerusercontent.com/images/WXWmv58d9sUu4dqpzmT1VHpljJM.png	(from https://alejandrovidela.framer.website/work/snusi)
00:17:48	193396/193396	---MC-	200	added ('OK')	image/png	etag:%226dc0cf9e2091a3e3fe107ccbb376713b%22	https://framerusercontent.com/images/rBvihvJOmnn08ADNj7qbl5ZDMXw.png	C:/Portafolio/framerusercontent.com/images/rBvihvJOmnn08ADNj7qbl5ZDMXw.png	(from https://alejandrovidela.framer.website/work/tne)
00:17:48	50908/50908	---MC-	200	added ('OK')	image/png	etag:%22fe3ec89de7217f93c7a9e37160748ea3%22	https://framerusercontent.com/images/6UN7qv7hCWgJoQCFY2h5ATplq1U.png	C:/Portafolio/framerusercontent.com/images/6UN7qv7hCWgJoQCFY2h5ATplq1U.png	(from https://alejandrovidela.framer.website/work/tne)
00:17:49	128421/128421	---MC-	200	added ('OK')	image/png	etag:%2295714761e0c434b3d21c2f20e36ba7c2%22	https://framerusercontent.com/images/5Cv9ox04OKpkSxnUExZG4GDw5o.png	C:/Portafolio/framerusercontent.com/images/5Cv9ox04OKpkSxnUExZG4GDw5o.png	(from https://alejandrovidela.framer.website/work/tne)
00:17:49	65436/65436	---MC-	200	added ('OK')	image/png	etag:%2254f065c18dfd3665ee1659832b44a1a4%22	https://framerusercontent.com/images/95HyWZ57aN6pYdlyZIhmwMcNMDU.png	C:/Portafolio/framerusercontent.com/images/95HyWZ57aN6pYdlyZIhmwMcNMDU.png	(from https://alejandrovidela.framer.website/work/tne)
